k	Задача	1-hd			1-fd			2-hd			2-fd			3-hd			3-fd			4-hd			4-fd			
0,6	10	6,16364	0,68485	0,89091	6,51923	0,72436	0,94231	6,51923	0,72436	0,94231	6,51923	0,72436	0,94231	6,51923	0,72436	0,94231	6,51923	0,72436	0,94231	6,51923	0,72436	0,94231	6,51923	0,72436	0,94231	
0,7	1	4,55844	0,50649	0,61039	5,16176	0,57353	0,69118	5,16176	0,57353	0,69118	5,16176	0,57353	0,69118	5,16176	0,57353	0,69118	5,16176	0,57353	0,69118	5,16176	0,57353	0,69118	5,16176	0,57353	0,69118	
0,7	2	4,23656	0,47073	0,88172	4,32967	0,48107	0,9011	4,23656	0,47073	0,88172	4,32967	0,48107	0,9011	4,23656	0,47073	0,88172	4,32967	0,48107	0,9011	4,23656	0,47073	0,88172	4,32967	0,48107	0,9011	
0,7	3	3,27679	0,36409	0,73214	3,27679	0,36409	0,73214	3,27679	0,36409	0,73214	3,27679	0,36409	0,73214	3,27679	0,36409	0,73214	3,27679	0,36409	0,73214	3,27679	0,36409	0,73214	3,27679	0,36409	0,73214	
0,7	4	4,57143	0,50794	0,81818	4,57143	0,50794	0,81818	4,57143	0,50794	0,81818	4,57143	0,50794	0,81818	4,57143	0,50794	0,81818	4,57143	0,50794	0,81818	4,57143	0,50794	0,81818	4,57143	0,50794	0,81818	
0,7	5	3,06796	0,34088	0,97087	3,06796	0,34088	0,97087	3,06796	0,34088	0,97087	3,06796	0,34088	0,97087	3,06796	0,34088	0,97087	3,06796	0,34088	0,97087	3,06796	0,34088	0,97087	3,06796	0,34088	0,97087	
0,7	6	4,85897	0,53989	0,96154	4,92208	0,5469	0,97403	4,92208	0,5469	0,97403	4,92208	0,5469	0,97403	4,92208	0,5469	0,97403	4,92208	0,5469	0,97403	4,92208	0,5469	0,97403	4,92208	0,5469	0,97403	
0,7	7	3,81319	0,42369	0,81319	3,85556	0,4284	0,82222	3,85556	0,4284	0,82222	3,85556	0,4284	0,82222	3,85556	0,4284	0,82222	3,85556	0,4284	0,82222	3,85556	0,4284	0,82222	3,85556	0,4284	0,82222	
0,7	8	4,69136	0,52126	0,83951	4,93506	0,54834	0,88312	4,93506	0,54834	0,88312	4,93506	0,54834	0,88312	4,93506	0,54834	0,88312	4,93506	0,54834	0,88312	4,93506	0,54834	0,88312	4,93506	0,54834	0,88312	
0,7	9	3,54167	0,39352	0,625	4,35897	0,48433	0,76923	3,54167	0,39352	0,625	4,35897	0,48433	0,76923	3,54167	0,39352	0,625	4,35897	0,48433	0,76923	3,54167	0,39352	0,625	4,35897	0,48433	0,76923	
