k	Задача	0				1				2				3				4				5				
0,5	10	1,01878	0,1132	0,21596	100	0,94967	0,10552	0,20131	81	1,05085	0,11676	0,22276	92	4,56842	0,5076	0,96842	151	4,34	0,48222	0,92	136	4,56842	0,5076	0,96842	130	
0,6	1	2,79191	0,31021	0,39884	91	1,90909	0,21212	0,27273	95	1,56818	0,17424	0,22403	80	6,52703	0,72523	0,93243	148	6,11392	0,67932	0,87342	136	4,43119	0,49235	0,63303	122	
0,6	2	1,59364	0,17707	0,24028	92	2,37368	0,26374	0,35789	78	1,31487	0,1461	0,19825	93	5,43373	0,60375	0,81928	155	5,125	0,56944	0,77273	131	4,95604	0,55067	0,74725	144	
0,6	3	2,5	0,27778	0,49451	89	2,03125	0,22569	0,40179	80	1,35417	0,15046	0,26786	85	4,64286	0,51587	0,91837	159	4,41748	0,49083	0,87379	148	4,375	0,48611	0,86538	149	
0,6	4	1,73061	0,19229	0,33469	97	1,64981	0,18331	0,31907	84	1,61832	0,17981	0,31298	78	3,11765	0,34641	0,60294	182	2,58537	0,28726	0,5	148	2,66667	0,2963	0,51572	156	
0,6	5	1,45098	0,16122	0,21242	90	1,79757	0,19973	0,26316	98	1,97333	0,21926	0,28889	76	6,83077	0,75897	1	134	4,7234	0,52482	0,69149	140	6,83077	0,75897	1	130	
0,6	6	1,42415	0,15824	0,34675	91	1,63121	0,18125	0,39716	80	1,00877	0,11209	0,24561	93	3,83333	0,42593	0,93333	170	3,00654	0,33406	0,73203	149	2,78788	0,30976	0,67879	144	
0,6	7	1,71315	0,19035	0,32271	97	1,86957	0,20773	0,35217	79	1,61654	0,17962	0,30451	85	4,72527	0,52503	0,89011	149	5,18072	0,57564	0,9759	128	4,25743	0,47305	0,80198	128	
0,6	8	1,58528	0,17614	0,26756	94	1,5	0,16667	0,25316	76	1,41493	0,15721	0,23881	86	4,60194	0,51133	0,7767	161	3,82258	0,42473	0,64516	148	4,05128	0,45014	0,68376	140	
0,6	9	2,19355	0,24373	0,31183	158	1,57529	0,17503	0,22394	138	1,33333	0,14815	0,18954	151	4,91566	0,54618	0,6988	292	4,58427	0,50936	0,65169	283	3,92308	0,4359	0,55769	285	
0,6	10	2,79739	0,31082	0,41176	133	1,51237	0,16804	0,22261	246	1,54513	0,17168	0,22744	114	4,50526	0,50058	0,66316	260	4,45833	0,49537	0,65625	270	4,23762	0,47085	0,62376	229	
0,7	1	2,76543	0,30727	0,25309	180	1,95633	0,21737	0,17904	195	1,77075	0,19675	0,16206	168	8,2963	0,92181	0,75926	268	5,97333	0,6637	0,54667	329	5,39759	0,59973	0,49398	276	
0,7	2	3,24658	0,36073	0,28767	108	2,50794	0,27866	0,22222	207	2,89024	0,32114	0,2561	169	6,49315	0,72146	0,57534	398	6,67606	0,74178	0,59155	337	5,32584	0,59176	0,47191	248	
0,7	3	3,23611	0,35957	0,47222	178	2,30693	0,25633	0,33663	148	2,56044	0,28449	0,37363	164	6,75362	0,7504	0,98551	294	5,17778	0,57531	0,75556	278	5,4186	0,60207	0,7907	229	
0,7	4	3,03378	0,33709	0,33784	128	2,46703	0,27411	0,27473	157	2,84177	0,31575	0,31646	214	8,31481	0,92387	0,92593	288	7,01562	0,77951	0,78125	342	5,90789	0,65643	0,65789	204	
0,7	5	5,22353	0,58039	0,44706	116	3,0411	0,3379	0,26027	218	3,12676	0,34742	0,26761	149	7,4	0,82222	0,63333	157	6,83077	0,75897	0,58462	139	4,48485	0,49832	0,38384	142	
0,7	6	2,3027	0,25586	0,39459	81	2,39326	0,26592	0,41011	77	2,97902	0,331	0,51049	76	5,75676	0,63964	0,98649	147	5,75676	0,63964	0,98649	133	4,95349	0,55039	0,84884	122	
0,7	7	2,22564	0,24729	0,31795	87	3,07801	0,342	0,43972	76	3,1	0,34444	0,44286	72	5,49367	0,61041	0,78481	165	4,98851	0,55428	0,71264	158	3,98165	0,44241	0,56881	156	
0,7	8	2,85987	0,31776	0,29936	74	2,58046	0,28672	0,27011	75	2,37566	0,26396	0,24868	75	6,32394	0,70266	0,66197	170	4,35922	0,48436	0,45631	152	4,15741	0,46193	0,43519	144	
0,7	9	2,62658	0,29184	0,5443	81	2,86207	0,31801	0,5931	69	1,70082	0,18898	0,35246	84	4,46237	0,49582	0,92473	164	3,95238	0,43915	0,81905	139	3,4874	0,38749	0,72269	141	
0,7	10	4,28	0,47556	0,63	81	2,64198	0,29355	0,38889	74	2,18367	0,24263	0,32143	89	5,21951	0,57995	0,76829	160	4,55319	0,50591	0,67021	133	5,28395	0,58711	0,77778	134	
0,8	1	3,00645	0,33405	0,4129	79	2,69364	0,29929	0,36994	69	3,30496	0,36722	0,4539	66	6,05195	0,67244	0,83117	164	5,54762	0,6164	0,7619	153	5,75309	0,63923	0,79012	165	
0,8	2	5,68293	0,63144	0,57317	93	2,72515	0,30279	0,27485	84	4,35514	0,4839	0,43925	89	8,03448	0,89272	0,81034	170	7,8983	0,87759	0,79661	156	6,95522	0,7728	0,70149	154	
0,8	3	5,93151	0,65906	0,82192	94	2,94558	0,32729	0,40816	84	2,98621	0,3318	0,41379	77	6,27536	0,69726	0,86957	158	5,77333	0,64148	0,8	155	5,15476	0,57275	0,71429	162	
0,8	4	4,52475	0,50275	0,52475	81	3,80833	0,42315	0,44167	70	3,62698	0,403	0,42063	79	7,4918	0,83242	0,86885	188	6,62319	0,73591	0,76812	175	8,62264	0,95807	1	185	
0,8	5	4,92391	0,5471	0,43478	77	3,45802	0,38422	0,30534	71	4,04464	0,4494	0,35714	93	11,325	1,25833	1	188	8,38889	0,9321	0,74074	176	7,55	0,83889	0,66667	167	
