k	Задача	0				1				2				3				4				5				
0,7	9	2,40873	0,26764	0,36111	155	2,44758	0,27195	0,36694	148	2,26493	0,25166	0,33955	144	6,52688	0,72521	0,97849	404	6,45745	0,71749	0,96809	357	4,56391	0,5071	0,68421	348	
0,7	10	3,52128	0,39125	0,2766	135	2,89083	0,3212	0,22707	148	3,16746	0,35194	0,2488	121	9,73529	1,0817	0,76471	442	5,05344	0,56149	0,39695	390	6,01818	0,66869	0,47273	392	
0,8	1	4,39189	0,48799	0,27027	133	4,85075	0,53897	0,29851	146	4,01235	0,44582	0,24691	124	9,02778	1,00309	0,55556	448	8,78378	0,97598	0,54054	394	8,22785	0,91421	0,50633	381	
0,8	2	4,36364	0,48485	0,29371	128	4,52174	0,50242	0,30435	151	4,05195	0,45022	0,27273	120	9,75	1,08333	0,65625	363	8,66667	0,96296	0,58333	386	9,04348	1,00483	0,6087	364	
0,8	3	6,09259	0,67695	0,55556	124	3,55676	0,3952	0,32432	125	4,41611	0,49068	0,40268	88	7,07527	0,78614	0,64516	341	7,83333	0,87037	0,71429	323	7,92771	0,88086	0,72289	313	
0,8	4	4,87023	0,54114	0,36641	150	3,66667	0,40741	0,27586	148	3,75294	0,41699	0,28235	103	10,63333	1,18148	0,8	410	6,31683	0,70187	0,47525	319	6,31683	0,70187	0,47525	353	
0,8	5	4,10135	0,45571	0,51351	117	2,90431	0,3227	0,36364	114	3,70122	0,41125	0,46341	85	7,98684	0,88743	1	375	5,32456	0,59162	0,66667	375	5,37168	0,59685	0,67257	381	
0,8	6	7,49398	0,83266	0,53012	132	5,70642	0,63405	0,40367	146	3,39891	0,37766	0,24044	129	11,73585	1,30398	0,83019	418	8,88571	0,9873	0,62857	420	6,61702	0,73522	0,46809	426	
0,8	7	4,97727	0,55303	0,31061	165	3,95783	0,43976	0,24699	170	3,86471	0,42941	0,24118	129	11,13559	1,23729	0,69492	416	9,25352	1,02817	0,57746	401	9,25352	1,02817	0,57746	407	
0,8	8	6,48958	0,72106	0,54167	134	3,64327	0,40481	0,30409	145	4,54745	0,50527	0,37956	126	11,53704	1,28189	0,96296	424	8,09091	0,89899	0,67532	357	7,32941	0,81438	0,61176	318	
0,8	9	5,57759	0,61973	0,31034	136	4,46207	0,49579	0,24828	134	4,65468	0,51719	0,25899	110	12,20755	1,35639	0,67925	447	9,24286	1,02698	0,51429	450	8,98611	0,99846	0,5	410	
